"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Update exercise.","tests.exercises","Fri Aug 15 07:54:04 UTC 2025","passed","Fri Aug 15 07:54:04 UTC 2025","TestExercises","test_exercises","",""
"","29","Create course.","tests.courses","Fri Aug 15 07:54:03 UTC 2025","passed","Fri Aug 15 07:54:03 UTC 2025","TestCourses","test_courses","",""
"","21","Create exercise.","tests.exercises","Fri Aug 15 07:54:04 UTC 2025","passed","Fri Aug 15 07:54:04 UTC 2025","TestExercises","test_exercises","",""
"","558","Create user.","tests.users","Fri Aug 15 07:54:10 UTC 2025","passed","Fri Aug 15 07:54:10 UTC 2025","TestUsers","test_users","",""
"","18","Get file with empty directory.","tests.files","Fri Aug 15 07:54:09 UTC 2025","passed","Fri Aug 15 07:54:09 UTC 2025","TestFiles","test_files","",""
"","61","Create file.","tests.files","Fri Aug 15 07:54:06 UTC 2025","passed","Fri Aug 15 07:54:06 UTC 2025","TestFiles","test_files","",""
"","23","Delete exercise.","tests.exercises","Fri Aug 15 07:54:05 UTC 2025","passed","Fri Aug 15 07:54:05 UTC 2025","TestExercises","test_exercises","",""
"","14","Get file.","tests.files","Fri Aug 15 07:54:07 UTC 2025","passed","Fri Aug 15 07:54:07 UTC 2025","TestFiles","test_files","",""
"","32","Update course.","tests.courses","Fri Aug 15 07:54:03 UTC 2025","passed","Fri Aug 15 07:54:03 UTC 2025","TestCourses","test_courses","",""
"","22","Get exercise.","tests.exercises","Fri Aug 15 07:54:05 UTC 2025","passed","Fri Aug 15 07:54:05 UTC 2025","TestExercises","test_exercises","",""
"","521","Create user.","tests.users","Fri Aug 15 07:54:09 UTC 2025","passed","Fri Aug 15 07:54:09 UTC 2025","TestUsers","test_users","",""
"","522","Create user.","tests.users","Fri Aug 15 07:54:09 UTC 2025","passed","Fri Aug 15 07:54:10 UTC 2025","TestUsers","test_users","",""
"
        Test the GET /users/me endpoint for an authenticated user.
        ","14","Get current user info.","tests.users","Fri Aug 15 07:54:11 UTC 2025","passed","Fri Aug 15 07:54:11 UTC 2025","TestUsers","test_users","",""
"","18","Get file with empty filename.","tests.files","Fri Aug 15 07:54:08 UTC 2025","passed","Fri Aug 15 07:54:08 UTC 2025","TestFiles","test_files","",""
"","546","Login with valid email and password.","tests.authentication","Fri Aug 15 07:54:01 UTC 2025","passed","Fri Aug 15 07:54:02 UTC 2025","TestAuthentication","test_login","",""
"","27","Get course.","tests.courses","Fri Aug 15 07:54:02 UTC 2025","passed","Fri Aug 15 07:54:02 UTC 2025","TestCourses","test_courses","",""
"","23","Delete file.","tests.files","Fri Aug 15 07:54:09 UTC 2025","passed","Fri Aug 15 07:54:09 UTC 2025","TestFiles","test_files","",""
"","23","Get a list of exercises for the course","tests.exercises","Fri Aug 15 07:54:06 UTC 2025","passed","Fri Aug 15 07:54:06 UTC 2025","TestExercises","test_exercises","",""
"","9","Get file with with invalid file id.","tests.files","Fri Aug 15 07:54:10 UTC 2025","passed","Fri Aug 15 07:54:10 UTC 2025","TestFiles","test_files","",""
