"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Create exercise.","tests.exercises","Fri Aug 15 07:30:06 UTC 2025","passed","Fri Aug 15 07:30:06 UTC 2025","TestExercises","test_exercises","",""
"","22","Get exercise.","tests.exercises","Fri Aug 15 07:30:08 UTC 2025","passed","Fri Aug 15 07:30:08 UTC 2025","TestExercises","test_exercises","",""
"","291","Create user.","tests.users","Fri Aug 15 07:30:12 UTC 2025","passed","Fri Aug 15 07:30:12 UTC 2025","TestUsers","test_users","",""
"","35","Create course.","tests.courses","Fri Aug 15 07:30:05 UTC 2025","passed","Fri Aug 15 07:30:05 UTC 2025","TestCourses","test_courses","",""
"","19","Get a list of exercises for the course","tests.exercises","Fri Aug 15 07:30:09 UTC 2025","passed","Fri Aug 15 07:30:09 UTC 2025","TestExercises","test_exercises","",""
"","24","Delete exercise.","tests.exercises","Fri Aug 15 07:30:08 UTC 2025","passed","Fri Aug 15 07:30:08 UTC 2025","TestExercises","test_exercises","",""
"","32","Get course.","tests.courses","Fri Aug 15 07:30:04 UTC 2025","passed","Fri Aug 15 07:30:04 UTC 2025","TestCourses","test_courses","",""
"","44","Update exercise.","tests.exercises","Fri Aug 15 07:30:06 UTC 2025","passed","Fri Aug 15 07:30:06 UTC 2025","TestExercises","test_exercises","",""
"
        Test the GET /users/me endpoint for an authenticated user.
        ","15","Get current user info.","tests.users","Fri Aug 15 07:30:13 UTC 2025","passed","Fri Aug 15 07:30:13 UTC 2025","TestUsers","test_users","",""
"","19","Get file with empty directory.","tests.files","Fri Aug 15 07:30:11 UTC 2025","passed","Fri Aug 15 07:30:11 UTC 2025","TestFiles","test_files","",""
"","19","Get file with empty filename.","tests.files","Fri Aug 15 07:30:10 UTC 2025","passed","Fri Aug 15 07:30:10 UTC 2025","TestFiles","test_files","",""
"","23","Delete file.","tests.files","Fri Aug 15 07:30:12 UTC 2025","passed","Fri Aug 15 07:30:12 UTC 2025","TestFiles","test_files","",""
"","18","Get file.","tests.files","Fri Aug 15 07:30:10 UTC 2025","passed","Fri Aug 15 07:30:10 UTC 2025","TestFiles","test_files","",""
"","309","Create file.","tests.files","Fri Aug 15 07:30:09 UTC 2025","passed","Fri Aug 15 07:30:09 UTC 2025","TestFiles","test_files","",""
"","8","Get file with with invalid file id.","tests.files","Fri Aug 15 07:30:12 UTC 2025","passed","Fri Aug 15 07:30:12 UTC 2025","TestFiles","test_files","",""
"","547","Login with valid email and password.","tests.authentication","Fri Aug 15 07:30:03 UTC 2025","passed","Fri Aug 15 07:30:04 UTC 2025","TestAuthentication","test_login","",""
"","559","Create user.","tests.users","Fri Aug 15 07:30:12 UTC 2025","passed","Fri Aug 15 07:30:13 UTC 2025","TestUsers","test_users","",""
"","32","Update course.","tests.courses","Fri Aug 15 07:30:05 UTC 2025","passed","Fri Aug 15 07:30:05 UTC 2025","TestCourses","test_courses","",""
"","534","Create user.","tests.users","Fri Aug 15 07:30:12 UTC 2025","passed","Fri Aug 15 07:30:12 UTC 2025","TestUsers","test_users","",""
