"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","292","Create user.","tests.users","Fri Aug 15 06:47:11 UTC 2025","passed","Fri Aug 15 06:47:12 UTC 2025","TestUsers","test_users","",""
"","22","Delete exercise.","tests.exercises","Fri Aug 15 06:47:07 UTC 2025","passed","Fri Aug 15 06:47:07 UTC 2025","TestExercises","test_exercises","",""
"
        Test the GET /users/me endpoint for an authenticated user.
        ","13","Get current user info.","tests.users","Fri Aug 15 06:47:13 UTC 2025","passed","Fri Aug 15 06:47:13 UTC 2025","TestUsers","test_users","",""
"","537","Create user.","tests.users","Fri Aug 15 06:47:11 UTC 2025","passed","Fri Aug 15 06:47:11 UTC 2025","TestUsers","test_users","",""
"","546","Login with valid email and password.","tests.authentication","Fri Aug 15 06:47:03 UTC 2025","passed","Fri Aug 15 06:47:03 UTC 2025","TestAuthentication","test_login","",""
"","20","Get exercise.","tests.exercises","Fri Aug 15 06:47:07 UTC 2025","passed","Fri Aug 15 06:47:07 UTC 2025","TestExercises","test_exercises","",""
"","28","Get course.","tests.courses","Fri Aug 15 06:47:03 UTC 2025","passed","Fri Aug 15 06:47:04 UTC 2025","TestCourses","test_courses","",""
"","310","Create file.","tests.files","Fri Aug 15 06:47:08 UTC 2025","passed","Fri Aug 15 06:47:09 UTC 2025","TestFiles","test_files","",""
"","26","Update exercise.","tests.exercises","Fri Aug 15 06:47:06 UTC 2025","passed","Fri Aug 15 06:47:06 UTC 2025","TestExercises","test_exercises","",""
"","33","Update course.","tests.courses","Fri Aug 15 06:47:05 UTC 2025","passed","Fri Aug 15 06:47:05 UTC 2025","TestCourses","test_courses","",""
"","23","Delete file.","tests.files","Fri Aug 15 06:47:11 UTC 2025","passed","Fri Aug 15 06:47:11 UTC 2025","TestFiles","test_files","",""
"","27","Create course.","tests.courses","Fri Aug 15 06:47:05 UTC 2025","passed","Fri Aug 15 06:47:05 UTC 2025","TestCourses","test_courses","",""
"","15","Get file with empty directory.","tests.files","Fri Aug 15 06:47:10 UTC 2025","passed","Fri Aug 15 06:47:10 UTC 2025","TestFiles","test_files","",""
"","15","Get file.","tests.files","Fri Aug 15 06:47:09 UTC 2025","passed","Fri Aug 15 06:47:09 UTC 2025","TestFiles","test_files","",""
"","19","Create exercise.","tests.exercises","Fri Aug 15 06:47:06 UTC 2025","passed","Fri Aug 15 06:47:06 UTC 2025","TestExercises","test_exercises","",""
"","10","Get file with with invalid file id.","tests.files","Fri Aug 15 06:47:11 UTC 2025","passed","Fri Aug 15 06:47:11 UTC 2025","TestFiles","test_files","",""
"","15","Get file with empty filename.","tests.files","Fri Aug 15 06:47:10 UTC 2025","passed","Fri Aug 15 06:47:10 UTC 2025","TestFiles","test_files","",""
"","19","Get a list of exercises for the course","tests.exercises","Fri Aug 15 06:47:08 UTC 2025","passed","Fri Aug 15 06:47:08 UTC 2025","TestExercises","test_exercises","",""
"","556","Create user.","tests.users","Fri Aug 15 06:47:12 UTC 2025","passed","Fri Aug 15 06:47:12 UTC 2025","TestUsers","test_users","",""
