"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Update exercise.","tests.exercises","Fri Aug 15 07:36:18 UTC 2025","passed","Fri Aug 15 07:36:18 UTC 2025","TestExercises","test_exercises","",""
"","37","Update course.","tests.courses","Fri Aug 15 07:36:17 UTC 2025","passed","Fri Aug 15 07:36:17 UTC 2025","TestCourses","test_courses","",""
"","27","Create exercise.","tests.exercises","Fri Aug 15 07:36:18 UTC 2025","passed","Fri Aug 15 07:36:18 UTC 2025","TestExercises","test_exercises","",""
"","548","Login with valid email and password.","tests.authentication","Fri Aug 15 07:36:15 UTC 2025","passed","Fri Aug 15 07:36:16 UTC 2025","TestAuthentication","test_login","",""
"","16","Get file.","tests.files","Fri Aug 15 07:36:22 UTC 2025","passed","Fri Aug 15 07:36:22 UTC 2025","TestFiles","test_files","",""
"","35","Get course.","tests.courses","Fri Aug 15 07:36:16 UTC 2025","passed","Fri Aug 15 07:36:16 UTC 2025","TestCourses","test_courses","",""
"","27","Delete file.","tests.files","Fri Aug 15 07:36:23 UTC 2025","passed","Fri Aug 15 07:36:23 UTC 2025","TestFiles","test_files","",""
"","563","Create user.","tests.users","Fri Aug 15 07:36:24 UTC 2025","passed","Fri Aug 15 07:36:25 UTC 2025","TestUsers","test_users","",""
"","25","Get a list of exercises for the course","tests.exercises","Fri Aug 15 07:36:21 UTC 2025","passed","Fri Aug 15 07:36:21 UTC 2025","TestExercises","test_exercises","",""
"","17","Get file with empty directory.","tests.files","Fri Aug 15 07:36:23 UTC 2025","passed","Fri Aug 15 07:36:23 UTC 2025","TestFiles","test_files","",""
"","17","Get file with empty filename.","tests.files","Fri Aug 15 07:36:22 UTC 2025","passed","Fri Aug 15 07:36:22 UTC 2025","TestFiles","test_files","",""
"","35","Create course.","tests.courses","Fri Aug 15 07:36:17 UTC 2025","passed","Fri Aug 15 07:36:17 UTC 2025","TestCourses","test_courses","",""
"","22","Get exercise.","tests.exercises","Fri Aug 15 07:36:19 UTC 2025","passed","Fri Aug 15 07:36:19 UTC 2025","TestExercises","test_exercises","",""
"","23","Delete exercise.","tests.exercises","Fri Aug 15 07:36:19 UTC 2025","passed","Fri Aug 15 07:36:19 UTC 2025","TestExercises","test_exercises","",""
"","61","Create file.","tests.files","Fri Aug 15 07:36:21 UTC 2025","passed","Fri Aug 15 07:36:21 UTC 2025","TestFiles","test_files","",""
"
        Test the GET /users/me endpoint for an authenticated user.
        ","16","Get current user info.","tests.users","Fri Aug 15 07:36:25 UTC 2025","passed","Fri Aug 15 07:36:25 UTC 2025","TestUsers","test_users","",""
"","9","Get file with with invalid file id.","tests.files","Fri Aug 15 07:36:24 UTC 2025","passed","Fri Aug 15 07:36:24 UTC 2025","TestFiles","test_files","",""
"","521","Create user.","tests.users","Fri Aug 15 07:36:23 UTC 2025","passed","Fri Aug 15 07:36:24 UTC 2025","TestUsers","test_users","",""
"","522","Create user.","tests.users","Fri Aug 15 07:36:24 UTC 2025","passed","Fri Aug 15 07:36:24 UTC 2025","TestUsers","test_users","",""
