"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","560","Create user.","tests.users","Fri Aug 15 07:19:53 UTC 2025","passed","Fri Aug 15 07:19:54 UTC 2025","TestUsers","test_users","",""
"","31","Update course.","tests.courses","Fri Aug 15 07:19:46 UTC 2025","passed","Fri Aug 15 07:19:46 UTC 2025","TestCourses","test_courses","",""
"","33","Update exercise.","tests.exercises","Fri Aug 15 07:19:47 UTC 2025","passed","Fri Aug 15 07:19:47 UTC 2025","TestExercises","test_exercises","",""
"","18","Get file with empty directory.","tests.files","Fri Aug 15 07:19:52 UTC 2025","passed","Fri Aug 15 07:19:52 UTC 2025","TestFiles","test_files","",""
"","16","Get file with empty filename.","tests.files","Fri Aug 15 07:19:51 UTC 2025","passed","Fri Aug 15 07:19:51 UTC 2025","TestFiles","test_files","",""
"","538","Create user.","tests.users","Fri Aug 15 07:19:53 UTC 2025","passed","Fri Aug 15 07:19:53 UTC 2025","TestUsers","test_users","",""
"","545","Login with valid email and password.","tests.authentication","Fri Aug 15 07:19:44 UTC 2025","passed","Fri Aug 15 07:19:45 UTC 2025","TestAuthentication","test_login","",""
"","21","Delete file.","tests.files","Fri Aug 15 07:19:53 UTC 2025","passed","Fri Aug 15 07:19:53 UTC 2025","TestFiles","test_files","",""
"","31","Create course.","tests.courses","Fri Aug 15 07:19:46 UTC 2025","passed","Fri Aug 15 07:19:46 UTC 2025","TestCourses","test_courses","",""
"","16","Get file.","tests.files","Fri Aug 15 07:19:51 UTC 2025","passed","Fri Aug 15 07:19:51 UTC 2025","TestFiles","test_files","",""
"","24","Delete exercise.","tests.exercises","Fri Aug 15 07:19:49 UTC 2025","passed","Fri Aug 15 07:19:49 UTC 2025","TestExercises","test_exercises","",""
"","22","Get a list of exercises for the course","tests.exercises","Fri Aug 15 07:19:50 UTC 2025","passed","Fri Aug 15 07:19:50 UTC 2025","TestExercises","test_exercises","",""
"","26","Get exercise.","tests.exercises","Fri Aug 15 07:19:49 UTC 2025","passed","Fri Aug 15 07:19:49 UTC 2025","TestExercises","test_exercises","",""
"","291","Create user.","tests.users","Fri Aug 15 07:19:53 UTC 2025","passed","Fri Aug 15 07:19:53 UTC 2025","TestUsers","test_users","",""
"
        Test the GET /users/me endpoint for an authenticated user.
        ","14","Get current user info.","tests.users","Fri Aug 15 07:19:54 UTC 2025","passed","Fri Aug 15 07:19:54 UTC 2025","TestUsers","test_users","",""
"","10","Get file with with invalid file id.","tests.files","Fri Aug 15 07:19:53 UTC 2025","passed","Fri Aug 15 07:19:53 UTC 2025","TestFiles","test_files","",""
"","313","Create file.","tests.files","Fri Aug 15 07:19:50 UTC 2025","passed","Fri Aug 15 07:19:50 UTC 2025","TestFiles","test_files","",""
"","30","Get course.","tests.courses","Fri Aug 15 07:19:45 UTC 2025","passed","Fri Aug 15 07:19:45 UTC 2025","TestCourses","test_courses","",""
"","24","Create exercise.","tests.exercises","Fri Aug 15 07:19:47 UTC 2025","passed","Fri Aug 15 07:19:47 UTC 2025","TestExercises","test_exercises","",""
